@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data
?,0.5,?,0.28,0.25,Low
0.23,?,0.19,0.51,?,Middle
0.09,0.55,0.12,?,0.05,?
0.24,?,?,0.18,0.86,?
0.18,?,0.37,0.29,0.55,Middle
0.1,0.6,?,?,0.26,Low
?,0.52,0.36,0.84,?,?
?,?,0.66,?,?,Middle
0.18,?,?,0.33,0.82,?
?,?,0.6,?,0.1,Low
?,?,?,0.75,?,Low
0.06,0.77,0.72,0.19,?,Middle
?,0.79,?,0.3,0.51,Middle
0.2,?,?,?,0.28,?
?,?,0.76,0.8,?,?
0.25,0.1,0.03,?,?,very_low
0.32,0.2,0.06,0.26,0.24,very_low
?,0.06,?,?,0.51,Middle
0.28,0.1,?,?,?,Low
0.3,?,?,0.02,?,Middle
0.27,0.12,0.37,0.29,0.58,?
0.31,?,0.41,0.42,0.75,?
?,?,?,0.66,?,very_low
?,?,?,?,?,Middle
0.28,?,0.69,0.33,0.78,High
?,0.18,0.5,0.4,?,very_low
0.265,0.06,0.57,?,0.1,Low
0.275,0.1,?,0.1,?,?
?,0.1,0.71,?,0.2,?
?,?,0.86,0.44,?,Low
0.32,0.12,?,?,0.24,?
0.295,?,0.26,?,?,?
0.315,?,0.29,0.29,?,Middle
?,0.29,0.15,0.48,0.26,Low
?,0.1,0.1,0.7,?,?
0.248,0.3,0.31,0.2,0.03,very_low
0.325,0.25,?,0.31,0.79,?
0.27,?,?,?,?,Low
?,?,?,?,?,?
0.29,0.3,0.52,0.09,0.67,?
0.258,?,0.64,0.29,?,Middle
?,0.255,0.55,?,?,Middle
?,0.265,0.57,0.6,?,?
0.288,0.31,0.79,0.23,0.24,?
0.323,?,0.89,0.32,0.8,?
0.255,?,0.86,0.62,0.15,Low
0.295,0.25,?,?,0.19,?
0.258,0.25,0.295,0.33,?,High
0.29,?,?,?,?,Middle
0.243,?,?,0.42,0.29,Low
0.27,?,?,?,?,?
0.299,?,0.31,0.33,?,?
0.3,0.27,0.31,0.31,?,Middle
0.245,0.26,0.38,0.49,0.27,Low
0.295,0.29,0.31,0.76,0.1,?
0.29,?,?,0.25,0.67,Middle
0.26,0.28,0.6,0.29,0.59,Middle
?,0.255,0.63,?,0.54,Middle
0.32,?,?,0.81,0.3,?
0.299,0.295,0.8,0.37,0.84,High
?,?,0.81,0.27,0.33,Low
?,0.31,?,0.4,?,Low
0.32,0.28,0.72,?,?,?
?,0.55,?,0.4,0.79,?
?,?,?,0.31,0.55,Middle
0.285,0.64,?,?,?,?
0.265,0.6,?,0.66,?,very_low
?,?,0.28,?,0.7,?
?,?,0.44,?,?,?
0.325,0.61,0.46,0.32,?,?
?,0.65,?,?,?,Low
?,0.75,0.35,?,0.25,Low
0.305,0.55,?,0.11,0.333,?
?,0.85,0.54,0.25,?,Middle
0.325,0.9,0.52,?,?,High
?,0.8,?,?,?,High
0.299,?,0.95,0.22,0.66,?
0.265,?,0.8,0.28,?,Low
0.255,0.72,0.72,?,0.14,?
0.295,0.6,?,?,?,?
?,0.05,?,0.06,0.34,?
?,?,0.26,?,0.67,?
?,?,0.18,0.55,0.07,very_low
0.48,0.12,?,?,0.71,?
?,?,0.41,?,0.65,Middle
0.41,0.18,0.33,?,0.5,?
?,0.1,?,0.48,0.26,Low
?,0.06,0.32,0.78,0.1,Low
0.41,0.09,0.58,?,0.58,Middle
0.38,0.01,?,?,0.3,?
?,0.04,?,0.55,0.1,very_low
0.42,?,0.66,0.78,?,?
0.44,0.08,?,0.22,0.56,Middle
0.39,0.15,?,?,0.29,?
0.42,0.21,?,0.56,0.48,Middle
0.46,0.2,?,?,0.65,High
?,0.243,0.19,?,0.35,Low
?,0.27,0.2,?,0.1,very_low
?,0.299,?,?,0.13,Low
?,0.3,?,0.65,?,?
?,?,0.38,0.14,0.86,High
0.334,0.295,?,0.32,0.3,?
?,?,0.37,0.48,?,?
?,?,0.39,?,0.14,Low
0.43,0.305,0.51,0.09,?,?
0.44,0.32,?,0.33,?,Middle
0.45,?,?,?,?,?
0.495,?,0.58,?,0.83,High
?,0.258,?,?,0.59,?
0.475,?,0.79,0.31,?,Middle
0.348,0.329,0.83,?,0.18,Low
0.385,?,0.76,0.84,0.3,?
0.445,?,0.02,?,?,High
0.43,?,0.27,0.27,?,?
0.33,0.34,?,?,?,very_low
0.4,0.33,0.12,0.3,?,?
0.34,?,?,0.2,0.61,Middle
0.38,?,0.46,0.49,?,High
?,?,0.32,0.6,0.16,?
?,0.49,0.34,0.21,?,High
?,0.36,0.63,0.04,?,Low
0.43,?,0.62,0.33,0.49,Middle
?,0.33,0.59,?,?,?
0.4,?,0.58,0.75,0.16,Low
0.46,0.44,0.89,0.12,0.66,?
0.38,0.39,?,?,?,Low
0.39,?,0.83,0.65,0.19,?
0.49,?,0.88,0.75,?,High
?,0.64,0.22,?,?,Middle
0.44,?,?,?,0.83,?
?,0.68,0.1,0.63,?,?
?,0.65,0.19,?,?,?
0.46,?,0.38,?,0.89,?
0.37,0.55,?,0.29,?,?
0.38,0.59,?,0.62,?,Low
?,0.64,?,0.78,0.21,Low
0.495,?,0.67,?,?,?
0.44,0.69,0.61,0.29,0.57,Middle
?,?,0.59,0.55,?,Low
0.49,?,0.52,0.9,0.47,?
0.445,0.7,?,0.16,?,?
0.42,?,0.72,?,?,?
0.37,0.6,?,?,?,?
?,?,?,?,0.67,?
0.6,0.14,0.22,?,0.66,?
0.55,?,?,?,?,?
0.68,0.19,0.19,?,0.1,very_low
0.73,0.2,0.07,0.72,0.26,?
0.78,0.15,0.38,?,?,Middle
0.55,?,0.34,0.3,0.1,?
0.59,0.18,0.31,?,0.09,very_low
0.64,?,0.33,?,?,?
0.6,?,0.55,?,0.1,?
?,0.02,?,?,0.29,Low
0.78,?,0.68,0.65,?,High
?,?,0.52,?,?,?
0.7,0.18,0.88,0.09,?,Middle
0.75,0.015,0.78,0.31,0.53,Middle
0.55,0.17,?,0.48,0.11,?
0.85,0.05,0.91,0.8,?,High
?,?,?,?,?,?
0.8,?,0.06,0.31,0.51,?
0.9,0.26,0.19,0.58,0.79,High
?,0.258,?,0.83,0.34,Middle
0.72,0.32,0.48,0.2,0.6,?
?,?,0.39,?,0.3,Low
?,0.288,0.32,0.5,0.3,Low
0.6,0.31,0.31,0.87,0.58,High
?,?,?,0.17,0.64,?
0.58,?,0.62,?,?,Low
0.61,?,?,?,0.24,?
0.77,?,?,?,?,Middle
0.79,0.28,0.88,?,?,?
0.68,0.27,0.78,0.31,0.57,Middle
0.58,0.299,0.73,0.63,?,?
0.77,?,?,?,?,High
0.71,?,0.13,?,0.59,?
?,?,0.06,0.29,0.31,Low
0.88,0.335,0.19,?,?,?
0.99,0.49,0.07,?,0.69,High
?,0.43,?,?,0.65,Middle
0.61,0.33,?,?,0.28,?
0.51,?,?,?,0.23,Low
?,0.44,0.49,0.91,0.66,High
?,0.38,?,0.15,?,Middle
0.58,0.35,?,0.27,0.3,Low
0.523,0.41,0.55,?,0.22,Low
0.66,0.36,0.56,?,?,High
0.62,0.37,0.81,0.13,?,?
?,?,0.82,?,0.52,Middle
0.5,?,?,?,0.2,Low
0.71,?,?,0.78,0.86,?
?,0.55,0.15,0.18,0.63,?
?,0.85,?,0.27,0.25,?
0.62,0.62,?,0.65,0.25,?
0.91,?,0.26,0.89,?,High
0.62,0.67,0.39,0.1,0.66,Middle
?,0.58,0.31,0.29,?,?
?,0.68,0.49,0.65,?,High
0.72,0.6,0.45,?,?,?
0.68,0.63,0.65,0.09,0.66,?
?,0.6,0.6,0.31,0.5,Middle
0.54,?,0.55,?,0.19,Low
0.61,0.78,0.69,0.92,0.58,High
0.78,0.61,?,0.19,?,Middle
?,0.82,?,?,?,High
0.5,0.75,?,?,0.26,Middle
0.66,0.9,0.76,?,?,High
