@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data
?,0.21,0.68,?,0.75,0
?,?,0.52,0.81,0.15,?
?,0.18,?,0.09,0.66,2
0.75,0.015,?,?,?,?
?,0.17,?,?,?,3
0.85,0.05,?,0.8,?,0
0.78,?,?,0.14,?,2
0.8,0.29,?,0.31,0.51,2
0.9,0.26,?,0.58,?,0
0.76,?,?,0.83,0.34,2
0.72,0.32,?,0.2,0.6,2
0.6,?,0.39,0.29,?,1
0.52,0.288,?,?,0.3,1
?,?,?,0.87,0.58,?
?,0.255,0.55,?,?,?
?,0.295,0.62,?,0.3,?
?,0.258,0.56,0.62,0.24,1
?,?,0.59,0.78,?,?
?,0.28,?,0.2,?,?
?,?,?,?,?,?
0.58,0.299,?,?,0.21,1
0.77,?,?,?,0.68,?
0.71,0.475,?,?,0.59,?
0.58,?,0.06,0.29,0.31,1
0.88,?,?,0.55,0.78,0
0.99,?,0.07,0.7,0.69,0
0.73,?,?,?,?,?
0.61,?,0.36,0.28,0.28,1
0.51,0.4,0.4,0.59,?,?
0.83,?,0.49,?,0.66,0
?,0.38,0.55,0.15,0.62,2
?,0.35,0.51,0.27,0.3,?
?,0.41,0.55,?,0.22,?
?,?,0.56,0.4,0.83,0
?,0.37,?,?,0.64,2
?,0.44,0.82,0.3,0.52,?
0.5,?,?,0.62,0.2,1
0.71,0.46,0.95,0.78,0.86,?
0.64,0.55,0.15,?,?,?
0.52,0.85,?,?,?,1
?,?,?,0.65,?,2
0.91,0.58,?,?,?,?
?,?,0.39,0.1,?,2
0.58,?,?,?,?,?
?,?,?,0.65,0.9,?
?,0.6,?,0.79,?,2
0.68,?,0.65,0.09,0.66,2
0.56,0.6,0.6,?,0.5,?
0.54,?,?,0.64,0.19,?
?,?,0.69,0.92,?,0
?,0.61,?,0.19,0.6,?
?,?,0.71,?,?,0
?,?,0.81,0.61,0.26,2
0.66,0.9,0.76,?,0.74,0
