@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data
?,?,0.88,0.09,0.66,2
0.75,0.015,?,0.31,?,2
0.55,?,0.71,0.48,0.11,3
?,?,0.91,0.8,0.68,?
?,0.27,?,?,0.62,?
?,0.29,?,?,?,?
0.9,0.26,0.19,?,?,0
0.76,?,?,0.83,?,2
?,0.32,0.48,?,?,2
0.6,?,?,0.29,?,?
0.52,0.288,0.32,?,?,?
?,0.31,0.31,0.87,0.58,0
?,?,?,?,0.64,2
?,?,0.62,0.28,0.3,?
?,0.258,0.56,0.62,0.24,1
0.77,?,0.59,?,0.28,2
0.79,?,0.88,0.2,0.66,?
?,0.27,0.78,0.31,0.57,?
0.58,?,?,?,0.21,?
0.77,?,?,0.82,?,?
0.71,?,0.13,0.23,0.59,2
0.58,?,0.06,0.29,?,?
0.88,0.335,0.19,0.55,0.78,0
0.99,?,?,?,0.69,0
0.73,?,0.32,?,?,?
0.61,0.33,0.36,0.28,0.28,1
?,0.4,?,0.59,0.23,1
?,?,0.49,?,0.66,0
0.66,0.38,0.55,0.15,?,2
?,0.35,?,?,0.3,1
?,0.41,?,?,0.22,?
?,0.36,0.56,?,?,?
?,0.37,?,0.13,0.64,2
0.52,0.44,0.82,?,?,2
0.5,?,0.73,0.62,?,?
0.71,?,?,0.78,?,0
0.64,0.55,0.15,0.18,0.63,?
?,0.85,?,0.27,?,1
0.62,?,0.24,0.65,?,2
0.91,?,?,0.89,0.88,?
?,0.67,?,0.1,?,2
?,0.58,?,0.29,?,?
0.89,0.68,0.49,?,0.9,?
0.72,0.6,?,0.79,0.45,2
0.68,0.63,0.65,0.09,0.66,2
0.56,0.6,?,0.31,?,2
0.54,0.51,0.55,?,0.19,1
0.61,0.78,?,?,0.58,0
0.78,?,0.71,0.19,?,2
0.54,?,?,0.29,0.77,0
?,0.75,0.81,0.61,?,?
0.66,?,0.76,0.87,?,?
