@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data
6.0,99.0,?,138.0,?,83.0
8.0,113.0,?,?,?,128.0
6.0,148.0,64.0,?,?,?
8.0,?,?,113.0,?,114.0
?,98.0,?,138.0,?,79.0
8.0,133.0,84.0,84.0,133.0,118.0
?,?,?,?,87.0,88.0
?,113.0,?,84.0,94.0,?
6.0,?,?,?,79.0,?
?,?,103.0,?,?,90.0
?,69.0,143.0,123.0,?,97.0
?,?,94.0,99.0,?,143.0
6.0,?,133.0,99.0,?,113.0
?,?,?,163.0,?,92.0
?,?,124.0,109.0,?,168.0
12.0,?,133.0,157.0,133.0,?
12.0,?,123.0,163.0,?,?
?,99.0,198.0,?,74.0,?
?,?,148.0,99.0,148.0,?
14.0,?,163.0,?,94.0,?
12.0,133.0,104.0,119.0,?,133.0
?,163.0,?,?,188.0,143.0
?,?,?,158.0,74.0,?
12.0,?,124.0,109.0,129.0,143.0
12.0,?,?,?,?,?
12.0,?,?,139.0,99.0,143.0
12.0,?,?,?,?,?
14.0,?,173.0,143.0,79.0,122.0
14.0,?,?,?,139.0,92.0
12.0,?,113.0,?,114.0,?
14.0,138.0,119.0,119.0,124.0,158.0
?,128.0,?,?,109.0,120.0
?,79.0,?,?,69.0,?
?,?,150.0,128.0,104.0,102.0
12.0,?,69.0,?,173.0,?
?,133.0,124.0,?,?,168.0
12.0,89.0,?,148.0,?,?
12.0,79.0,?,133.0,?,?
12.0,96.0,113.0,113.0,?,97.0
?,?,161.0,153.0,84.0,?
?,?,?,158.0,123.0,92.0
?,133.0,74.0,114.0,175.0,?
?,133.0,139.0,?,?,128.0
12.0,128.0,?,?,?,126.0
10.0,97.0,?,?,?,?
?,123.0,?,104.0,134.0,153.0
10.0,113.0,89.0,168.0,89.0,89.0
12.0,?,148.0,94.0,133.0,119.0
10.0,165.0,?,94.0,?,?
12.0,93.0,123.0,123.0,?,?
14.0,?,?,119.0,163.0,?
?,89.0,158.0,89.0,89.0,?
?,?,111.0,153.0,?,?
?,?,86.0,114.0,?,102.0
12.0,79.0,?,?,69.0,119.0
14.0,84.0,178.0,?,87.0,116.0
14.0,?,168.0,?,80.0,?
14.0,?,173.0,143.0,?,110.0
?,104.0,130.0,?,118.0,92.0
10.0,99.0,123.0,153.0,128.0,?
12.0,93.0,128.0,118.0,119.0,?
?,128.0,119.0,?,119.0,173.0
14.0,?,178.0,?,69.0,?
12.0,148.0,69.0,?,168.0,114.0
12.0,?,?,109.0,?,143.0
12.0,153.0,?,94.0,163.0,158.0
22.0,?,163.0,114.0,?,139.0
14.0,?,?,?,?,143.0
12.0,?,178.0,89.0,79.0,?
?,?,?,104.0,?,148.0
12.0,?,?,84.0,?,133.0
?,?,158.0,183.0,?,130.0
22.0,?,188.0,109.0,104.0,198.0
?,?,74.0,114.0,?,?
20.0,143.0,?,?,139.0,148.0
20.0,114.0,198.0,124.0,114.0,153.0
?,105.0,158.0,143.0,129.0,133.0
20.0,?,193.0,?,148.0,?
20.0,?,?,163.0,?,?
?,148.0,?,129.0,129.0,153.0
?,?,?,?,193.0,?
18.0,?,203.0,129.0,94.0,158.0
?,139.0,178.0,139.0,163.0,?
22.0,?,?,163.0,109.0,138.0
18.0,163.0,84.0,?,193.0,139.0
18.0,88.0,178.0,178.0,89.0,140.0
18.0,?,?,?,?,128.0
22.0,143.0,?,?,134.0,124.0
20.0,188.0,?,104.0,?,?
?,99.0,228.0,104.0,84.0,?
?,178.0,94.0,114.0,188.0,173.0
22.0,119.0,?,149.0,114.0,?
?,114.0,203.0,109.0,84.0,158.0
18.0,99.0,?,158.0,99.0,?
?,153.0,139.0,154.0,154.0,183.0
20.0,?,?,144.0,198.0,135.0
?,?,149.0,?,119.0,144.0
?,?,193.0,114.0,?,173.0
?,99.0,?,?,114.0,?
20.0,?,89.0,154.0,198.0,183.0
20.0,114.0,243.0,?,79.0,173.0
?,?,183.0,?,183.0,?
?,148.0,149.0,?,149.0,148.0
22.0,114.0,?,?,94.0,?
22.0,188.0,?,?,?,?
?,153.0,?,?,139.0,?
18.0,?,?,178.0,138.0,124.0
22.0,184.0,84.0,129.0,233.0,133.0
?,?,193.0,188.0,80.0,?
18.0,?,?,104.0,183.0,?
18.0,114.0,163.0,163.0,?,?
16.0,132.0,94.0,178.0,109.0,120.0
20.0,?,?,178.0,?,140.0
16.0,137.0,104.0,173.0,109.0,130.0
?,?,?,114.0,188.0,129.0
?,128.0,?,?,124.0,124.0
?,114.0,228.0,119.0,99.0,168.0
?,?,89.0,?,203.0,139.0
18.0,173.0,?,99.0,?,158.0
20.0,168.0,89.0,?,183.0,129.0
?,83.0,?,163.0,?,140.0
22.0,?,173.0,?,?,149.0
18.0,?,64.0,?,203.0,?
20.0,114.0,208.0,114.0,?,168.0
18.0,114.0,183.0,114.0,?,?
18.0,114.0,173.0,?,128.0,?
18.0,128.0,134.0,188.0,89.0,124.0
?,143.0,?,?,129.0,?
18.0,128.0,?,173.0,133.0,?
18.0,148.0,?,139.0,?,?
18.0,83.0,218.0,?,74.0,?
22.0,120.0,?,?,?,133.0
?,?,99.0,?,223.0,173.0
18.0,143.0,?,119.0,139.0,203.0
?,153.0,144.0,?,144.0,193.0
18.0,147.0,144.0,?,149.0,144.0
18.0,188.0,74.0,?,213.0,?
25.0,?,?,?,154.0,?
25.0,104.0,208.0,168.0,134.0,144.0
25.0,139.0,?,?,?,?
25.0,?,247.0,168.0,?,140.0
25.0,173.0,89.0,124.0,233.0,?
8.0,?,119.0,99.0,89.0,138.0
?,?,168.0,?,?,124.0
?,114.0,?,178.0,?,124.0
?,188.0,94.0,94.0,?,153.0
?,114.0,238.0,124.0,104.0,178.0
?,?,188.0,?,99.0,?
25.0,129.0,318.0,94.0,89.0,?
18.0,139.0,?,?,129.0,168.0
22.0,?,228.0,?,84.0,?
?,124.0,178.0,104.0,?,174.0
20.0,?,149.0,?,144.0,213.0
?,143.0,?,139.0,?,?
