@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data
8.0,74.0,153.0,118.0,?,99.0
6.0,118.0,64.0,101.0,?,92.0
?,69.0,153.0,113.0,?,99.0
?,123.0,68.0,89.0,128.0,?
6.0,99.0,104.0,128.0,64.0,78.0
?,124.0,?,?,?,?
6.0,84.0,?,128.0,93.0,?
6.0,?,64.0,?,?,86.0
6.0,118.0,64.0,99.0,?,88.0
?,89.0,?,?,64.0,118.0
?,98.0,89.0,133.0,?,?
?,98.0,?,?,?,?
8.0,?,?,74.0,?,?
8.0,123.0,64.0,93.0,148.0,90.0
6.0,84.0,113.0,141.0,98.0,81.0
6.0,59.0,?,125.0,59.0,?
8.0,143.0,?,?,?,123.0
?,94.0,?,?,125.0,?
8.0,?,?,?,?,90.0
8.0,84.0,138.0,?,69.0,123.0
6.0,?,?,?,98.0,81.0
?,99.0,?,138.0,69.0,?
8.0,?,?,84.0,109.0,128.0
6.0,148.0,?,74.0,138.0,128.0
8.0,?,138.0,113.0,64.0,114.0
?,?,?,?,79.0,?
8.0,133.0,?,?,133.0,118.0
?,?,?,?,?,?
?,113.0,?,84.0,94.0,?
6.0,?,?,113.0,79.0,?
6.0,83.0,103.0,98.0,99.0,90.0
8.0,69.0,?,?,?,97.0
8.0,118.0,94.0,?,99.0,?
?,?,?,99.0,74.0,113.0
12.0,115.0,94.0,?,109.0,?
12.0,123.0,124.0,?,114.0,168.0
?,94.0,?,157.0,133.0,95.0
?,?,?,?,?,?
14.0,?,198.0,?,74.0,153.0
14.0,113.0,148.0,99.0,148.0,?
?,?,163.0,99.0,?,153.0
?,?,104.0,?,?,?
14.0,?,69.0,94.0,?,143.0
12.0,74.0,?,?,?,119.0
?,?,124.0,?,129.0,143.0
?,94.0,?,148.0,113.0,100.0
12.0,123.0,129.0,139.0,99.0,?
12.0,?,163.0,99.0,79.0,143.0
?,81.0,?,143.0,79.0,?
14.0,135.0,?,?,?,?
12.0,108.0,113.0,?,114.0,100.0
14.0,138.0,119.0,?,?,158.0
?,?,122.0,?,109.0,120.0
?,?,203.0,153.0,69.0,119.0
12.0,?,?,128.0,104.0,?
?,148.0,69.0,104.0,173.0,138.0
?,?,?,?,124.0,?
12.0,?,?,?,111.0,102.0
?,79.0,183.0,133.0,70.0,113.0
?,96.0,113.0,?,99.0,97.0
?,84.0,161.0,153.0,?,?
?,?,135.0,158.0,?,?
?,133.0,74.0,114.0,175.0,?
?,133.0,139.0,?,109.0,?
12.0,?,124.0,?,111.0,126.0
?,?,?,108.0,119.0,111.0
12.0,123.0,104.0,104.0,?,153.0
?,113.0,89.0,?,?,?
12.0,?,148.0,94.0,133.0,119.0
10.0,165.0,64.0,94.0,173.0,97.0
?,93.0,123.0,123.0,124.0,100.0
14.0,?,?,119.0,?,?
?,?,158.0,?,89.0,158.0
10.0,113.0,?,?,84.0,97.0
?,?,?,?,158.0,102.0
12.0,79.0,158.0,148.0,69.0,119.0
14.0,84.0,178.0,138.0,?,116.0
14.0,84.0,168.0,148.0,?,?
14.0,84.0,?,143.0,69.0,110.0
?,?,130.0,178.0,118.0,92.0
10.0,99.0,123.0,153.0,128.0,103.0
?,93.0,128.0,118.0,119.0,?
?,?,119.0,104.0,119.0,?
?,94.0,?,109.0,69.0,?
?,?,69.0,104.0,?,?
12.0,113.0,?,109.0,119.0,143.0
12.0,153.0,?,94.0,?,?
22.0,139.0,163.0,?,?,?
14.0,163.0,99.0,94.0,?,143.0
?,89.0,178.0,89.0,?,?
?,?,?,104.0,69.0,148.0
?,168.0,69.0,84.0,?,133.0
?,128.0,158.0,183.0,158.0,130.0
?,129.0,188.0,109.0,?,198.0
16.0,?,?,114.0,198.0,129.0
?,?,139.0,?,?,148.0
20.0,114.0,?,?,114.0,?
18.0,?,158.0,?,?,?
?,?,193.0,?,148.0,138.0
?,98.0,193.0,163.0,?,140.0
22.0,?,?,129.0,?,?
?,?,?,164.0,193.0,153.0
18.0,?,?,?,94.0,158.0
22.0,?,178.0,?,163.0,?
22.0,?,?,163.0,109.0,?
18.0,?,?,129.0,?,139.0
?,88.0,178.0,?,89.0,140.0
?,?,?,?,133.0,?
22.0,143.0,?,208.0,?,?
20.0,?,?,104.0,208.0,?
18.0,99.0,228.0,104.0,?,163.0
18.0,178.0,94.0,114.0,?,173.0
?,?,198.0,?,?,?
20.0,114.0,203.0,?,84.0,?
18.0,?,193.0,158.0,99.0,?
22.0,?,139.0,154.0,154.0,183.0
?,162.0,?,144.0,198.0,135.0
18.0,132.0,?,139.0,119.0,?
18.0,?,193.0,114.0,?,?
?,99.0,183.0,128.0,114.0,129.0
20.0,?,?,154.0,198.0,183.0
20.0,114.0,?,?,79.0,173.0
?,?,?,114.0,183.0,?
?,148.0,149.0,154.0,149.0,?
22.0,?,213.0,129.0,94.0,178.0
22.0,?,124.0,114.0,183.0,188.0
25.0,153.0,159.0,129.0,?,218.0
?,?,?,?,?,?
?,?,?,129.0,233.0,?
18.0,?,193.0,188.0,80.0,138.0
?,178.0,129.0,104.0,183.0,163.0
18.0,114.0,?,163.0,?,?
?,?,94.0,178.0,109.0,?
20.0,93.0,183.0,?,?,140.0
16.0,?,?,173.0,?,?
?,153.0,?,114.0,188.0,?
18.0,128.0,114.0,168.0,?,124.0
22.0,?,?,?,?,168.0
?,?,?,114.0,?,139.0
18.0,173.0,84.0,?,?,158.0
?,?,?,124.0,183.0,?
18.0,83.0,?,?,84.0,140.0
22.0,?,173.0,?,173.0,?
18.0,198.0,64.0,?,?,153.0
20.0,114.0,208.0,114.0,?,?
?,?,183.0,114.0,?,?
18.0,114.0,173.0,183.0,128.0,124.0
?,128.0,134.0,188.0,?,124.0
18.0,143.0,?,129.0,129.0,178.0
18.0,?,163.0,173.0,?,?
18.0,148.0,?,139.0,168.0,?
18.0,83.0,218.0,163.0,74.0,140.0
22.0,120.0,?,?,144.0,133.0
22.0,203.0,?,104.0,?,173.0
18.0,?,?,?,?,203.0
22.0,153.0,?,?,?,?
?,?,?,?,?,144.0
?,?,74.0,?,213.0,168.0
25.0,?,?,?,154.0,153.0
?,104.0,?,168.0,?,?
25.0,?,153.0,?,158.0,?
?,?,247.0,168.0,?,?
?,173.0,89.0,124.0,233.0,158.0
?,?,?,99.0,?,138.0
22.0,124.0,?,208.0,148.0,124.0
?,114.0,?,?,158.0,124.0
20.0,?,?,94.0,223.0,?
25.0,?,238.0,124.0,?,?
?,94.0,188.0,148.0,?,139.0
?,?,?,94.0,?,188.0
?,139.0,148.0,129.0,?,168.0
22.0,?,228.0,104.0,84.0,?
20.0,?,178.0,104.0,?,?
20.0,133.0,?,?,144.0,?
?,143.0,?,139.0,?,?
