@relation dataset

@attribute R real
@attribute F real
@attribute M real
@attribute T real
@attribute class {0, 1}


@data
4.0,7.0,1750.0,?,0
2.0,?,1000.0,?,0
11.0,?,2750.0,?,?
?,2.0,?,?,?
?,5.0,?,47.0,?
?,?,?,?,?
4.0,?,1500.0,47.0,?
11.0,7.0,1750.0,29.0,0
?,9.0,2250.0,45.0,0
?,6.0,?,52.0,?
4.0,7.0,1750.0,58.0,?
?,?,?,?,1
?,?,1750.0,58.0,?
11.0,9.0,?,38.0,0
11.0,?,?,26.0,0
?,2.0,500.0,16.0,0
?,?,1750.0,76.0,0
11.0,?,?,?,?
?,3.0,?,14.0,0
4.0,?,250.0,4.0,?
4.0,?,?,4.0,?
?,1.0,250.0,4.0,?
4.0,1.0,?,?,?
4.0,?,250.0,4.0,0
?,1.0,250.0,?,?
?,?,?,4.0,?
?,?,?,?,0
4.0,1.0,?,4.0,?
?,?,250.0,?,0
4.0,1.0,250.0,4.0,0
4.0,1.0,250.0,4.0,?
4.0,?,250.0,4.0,1
?,?,?,4.0,0
?,?,250.0,4.0,1
?,1.0,?,4.0,?
4.0,1.0,250.0,4.0,?
4.0,?,750.0,24.0,?
?,1.0,250.0,?,?
4.0,1.0,?,4.0,0
4.0,?,250.0,?,0
4.0,?,?,?,1
?,?,250.0,?,?
?,8.0,2000.0,?,?
14.0,7.0,?,26.0,?
?,?,?,?,?
?,3.0,?,?,0
4.0,2.0,?,14.0,?
?,?,1000.0,43.0,0
?,?,2250.0,?,?
?,8.0,2000.0,52.0,1
?,22.0,5500.0,?,0
?,3.0,750.0,25.0,1
11.0,17.0,4250.0,?,1
9.0,2.0,?,?,?
?,?,1250.0,46.0,?
11.0,12.0,3000.0,?,?
7.0,12.0,3000.0,?,0
?,?,500.0,11.0,0
11.0,2.0,?,?,?
?,2.0,?,11.0,?
?,?,?,?,?
?,?,?,41.0,1
11.0,3.0,?,?,?
12.0,13.0,?,59.0,?
2.0,?,750.0,35.0,?
?,?,?,28.0,?
11.0,7.0,?,37.0,0
?,?,750.0,28.0,0
12.0,12.0,3000.0,58.0,?
4.0,4.0,1000.0,41.0,0
11.0,14.0,?,?,1
?,?,500.0,23.0,?
2.0,3.0,?,38.0,1
?,?,?,58.0,0
?,?,?,43.0,?
?,?,?,?,0
11.0,8.0,?,46.0,0
?,7.0,1750.0,?,?
13.0,4.0,?,21.0,0
?,?,2750.0,?,?
?,7.0,?,?,?
?,?,500.0,?,0
4.0,5.0,?,?,0
?,?,?,58.0,0
?,4.0,?,?,0
?,?,3250.0,57.0,?
4.0,3.0,750.0,34.0,0
?,18.0,?,?,?
11.0,8.0,2000.0,48.0,0
?,16.0,?,70.0,?
14.0,4.0,?,?,1
14.0,5.0,?,?,?
8.0,2.0,500.0,?,?
?,?,?,?,?
11.0,?,?,?,0
?,2.0,500.0,?,?
?,?,500.0,?,?
14.0,5.0,1250.0,28.0,1
?,?,?,?,?
?,4.0,?,23.0,1
16.0,?,?,50.0,?
?,?,1000.0,28.0,0
?,?,?,35.0,0
?,?,1250.0,?,0
2.0,?,1000.0,70.0,?
14.0,?,1250.0,?,?
?,2.0,500.0,14.0,0
14.0,?,?,?,?
14.0,2.0,?,14.0,0
?,?,500.0,14.0,0
?,2.0,?,?,0
?,2.0,500.0,?,0
2.0,?,750.0,?,?
?,6.0,1500.0,?,0
?,?,?,?,?
?,?,1250.0,?,0
11.0,3.0,750.0,23.0,?
?,?,?,23.0,0
?,3.0,750.0,?,0
11.0,?,1250.0,?,0
11.0,?,?,?,0
12.0,?,2250.0,60.0,0
?,?,250.0,?,?
?,?,250.0,9.0,0
4.0,2.0,500.0,?,0
?,2.0,500.0,?,?
14.0,?,1000.0,26.0,?
11.0,?,2250.0,?,1
?,5.0,?,?,?
15.0,?,?,82.0,0
9.0,?,?,?,1
11.0,4.0,1000.0,34.0,?
?,?,?,50.0,?
?,?,?,?,?
14.0,2.0,?,?,?
2.0,?,500.0,?,?
14.0,16.0,?,?,0
?,4.0,1000.0,?,?
?,?,?,?,0
14.0,?,?,47.0,?
?,?,1500.0,?,?
?,?,1500.0,35.0,1
?,7.0,1750.0,?,1
16.0,2.0,500.0,16.0,0
?,?,?,21.0,?
11.0,?,?,28.0,?
?,7.0,?,?,0
?,1.0,250.0,11.0,1
?,?,750.0,?,?
?,?,1000.0,?,0
23.0,38.0,9500.0,98.0,?
?,6.0,1500.0,58.0,0
11.0,1.0,250.0,?,0
11.0,1.0,250.0,11.0,0
11.0,?,250.0,?,?
?,1.0,250.0,11.0,?
11.0,?,250.0,?,0
11.0,?,?,11.0,0
11.0,1.0,250.0,?,?
11.0,?,250.0,?,0
11.0,?,500.0,21.0,?
11.0,5.0,?,?,?
11.0,?,?,21.0,0
?,?,?,?,0
?,2.0,?,41.0,?
?,6.0,1500.0,?,0
14.0,?,750.0,?,0
?,?,500.0,26.0,?
?,?,4000.0,?,?
14.0,6.0,?,?,0
?,2.0,500.0,?,0
?,?,?,?,0
?,13.0,?,?,?
?,?,?,?,0
?,2.0,500.0,?,1
23.0,?,?,57.0,0
?,?,?,?,0
?,2.0,500.0,?,0
?,5.0,1250.0,?,1
?,?,500.0,51.0,1
?,3.0,750.0,?,?
4.0,2.0,?,52.0,0
?,4.0,1000.0,?,0
?,?,?,40.0,?
11.0,3.0,750.0,40.0,?
14.0,?,1250.0,50.0,?
?,?,250.0,14.0,?
?,1.0,?,?,0
?,?,250.0,14.0,0
14.0,?,250.0,?,?
14.0,?,?,14.0,0
14.0,1.0,?,?,0
14.0,?,250.0,14.0,0
14.0,?,250.0,14.0,0
?,7.0,1750.0,?,0
14.0,?,250.0,?,?
?,1.0,?,?,0
?,?,?,52.0,0
14.0,?,?,73.0,?
11.0,?,1000.0,?,?
11.0,?,?,?,0
4.0,2.0,500.0,59.0,?
?,?,?,61.0,0
?,?,1000.0,40.0,0
?,?,2500.0,89.0,?
?,2.0,?,?,?
?,3.0,?,?,?
?,?,?,76.0,?
?,3.0,?,26.0,?
?,2.0,?,23.0,0
23.0,5.0,1250.0,33.0,?
?,?,?,?,0
?,?,?,?,0
?,5.0,?,?,0
14.0,?,?,41.0,?
16.0,?,?,?,0
16.0,1.0,250.0,16.0,?
?,?,250.0,?,?
16.0,1.0,250.0,16.0,?
?,?,?,16.0,?
?,1.0,250.0,?,?
?,?,250.0,?,0
?,4.0,1000.0,45.0,?
16.0,1.0,?,?,?
16.0,1.0,250.0,16.0,0
16.0,1.0,?,?,0
?,1.0,?,?,?
16.0,1.0,?,16.0,?
16.0,?,?,26.0,0
21.0,2.0,500.0,?,0
16.0,2.0,500.0,?,?
21.0,2.0,?,23.0,0
21.0,2.0,500.0,23.0,?
?,4.0,1000.0,57.0,0
?,?,1250.0,?,?
?,2.0,?,23.0,?
?,?,1250.0,74.0,0
23.0,3.0,750.0,?,?
?,3.0,750.0,40.0,?
?,?,?,?,?
?,2.0,500.0,?,?
?,?,1750.0,?,1
14.0,?,1000.0,64.0,?
14.0,2.0,500.0,?,?
?,7.0,?,93.0,0
21.0,?,500.0,?,?
14.0,?,?,52.0,?
23.0,14.0,3500.0,?,0
?,?,2000.0,?,?
16.0,3.0,750.0,?,0
?,3.0,750.0,?,0
11.0,?,?,?,0
?,3.0,750.0,76.0,0
?,12.0,3000.0,?,0
21.0,3.0,?,?,?
?,?,500.0,26.0,?
23.0,2.0,?,?,?
23.0,?,2000.0,?,?
16.0,?,?,?,0
?,3.0,750.0,?,?
21.0,?,?,?,?
?,?,500.0,?,?
?,1.0,250.0,21.0,0
21.0,?,250.0,21.0,0
?,?,250.0,?,?
?,1.0,250.0,21.0,?
21.0,?,250.0,21.0,0
?,?,?,?,?
21.0,1.0,250.0,?,?
?,?,250.0,?,?
?,1.0,250.0,?,?
21.0,?,250.0,21.0,1
21.0,1.0,250.0,?,0
21.0,1.0,250.0,21.0,0
?,5.0,1250.0,60.0,0
23.0,?,?,?,0
?,4.0,?,52.0,0
22.0,1.0,?,22.0,?
11.0,2.0,?,70.0,?
23.0,?,1250.0,58.0,0
?,?,?,40.0,?
23.0,3.0,750.0,41.0,0
?,3.0,750.0,83.0,?
21.0,2.0,500.0,35.0,0
26.0,5.0,?,49.0,?
?,?,1500.0,?,?
23.0,1.0,?,23.0,0
23.0,1.0,?,23.0,?
23.0,1.0,250.0,?,?
23.0,?,?,?,0
?,?,?,?,0
23.0,?,?,?,?
23.0,?,250.0,?,0
23.0,?,?,23.0,0
23.0,?,?,53.0,?
21.0,?,?,?,?
?,3.0,?,48.0,?
21.0,?,?,?,0
21.0,?,750.0,64.0,?
16.0,?,?,70.0,?
21.0,3.0,750.0,70.0,?
23.0,?,1000.0,87.0,0
23.0,?,750.0,?,?
?,?,500.0,?,?
?,?,?,?,?
38.0,?,?,38.0,?
?,?,?,?,?
?,1.0,?,?,?
74.0,1.0,250.0,74.0,?
?,43.0,10750.0,86.0,?
6.0,22.0,?,28.0,?
2.0,34.0,?,77.0,1
?,44.0,11000.0,?,?
?,?,6500.0,76.0,1
2.0,41.0,10250.0,?,1
3.0,21.0,?,?,1
2.0,11.0,2750.0,23.0,?
?,21.0,5250.0,?,1
2.0,?,?,32.0,1
?,4.0,1000.0,?,?
2.0,?,2750.0,26.0,?
2.0,11.0,2750.0,28.0,?
?,?,3500.0,35.0,0
4.0,?,4000.0,38.0,1
4.0,6.0,?,?,0
3.0,?,?,12.0,1
?,?,?,98.0,1
3.0,10.0,?,33.0,1
4.0,?,2500.0,28.0,1
2.0,?,?,40.0,1
2.0,?,2750.0,41.0,?
?,13.0,3250.0,39.0,1
?,?,?,43.0,?
4.0,9.0,?,?,0
2.0,?,1000.0,?,?
?,?,1250.0,16.0,1
2.0,?,3750.0,64.0,?
5.0,24.0,?,?,0
2.0,?,?,22.0,1
?,5.0,1250.0,?,1
?,4.0,?,14.0,?
?,?,2000.0,28.0,?
?,4.0,1000.0,?,0
?,6.0,1500.0,26.0,?
?,?,?,16.0,?
2.0,?,?,?,1
?,6.0,?,26.0,?
2.0,?,2000.0,?,?
2.0,2.0,500.0,?,?
?,?,?,28.0,1
2.0,?,2500.0,52.0,?
?,?,4000.0,70.0,1
4.0,2.0,500.0,4.0,?
1.0,14.0,3500.0,?,?
?,?,?,4.0,1
7.0,14.0,?,48.0,?
2.0,3.0,750.0,11.0,?
2.0,12.0,?,70.0,?
4.0,?,1750.0,32.0,1
4.0,?,1000.0,16.0,?
2.0,?,?,35.0,1
4.0,6.0,?,?,?
?,3.0,750.0,?,0
2.0,4.0,1000.0,?,0
4.0,?,?,18.0,?
5.0,6.0,?,?,?
?,6.0,?,30.0,?
14.0,?,1250.0,?,?
3.0,8.0,2000.0,50.0,0
?,11.0,?,?,?
?,?,?,52.0,?
4.0,16.0,?,98.0,1
7.0,10.0,?,47.0,0
?,14.0,3500.0,?,?
?,?,?,?,?
?,?,1500.0,35.0,0
4.0,?,2250.0,?,0
4.0,6.0,1500.0,?,?
?,?,?,45.0,?
?,?,1500.0,?,0
?,?,?,?,?
?,2.0,?,?,1
2.0,?,?,11.0,?
?,2.0,500.0,11.0,1
4.0,?,?,38.0,?
3.0,4.0,1000.0,?,?
9.0,9.0,2250.0,38.0,0
?,5.0,?,?,0
?,3.0,750.0,21.0,0
2.0,?,250.0,2.0,?
?,?,250.0,2.0,?
2.0,?,?,?,?
?,?,250.0,?,?
2.0,?,250.0,?,?
?,1.0,?,2.0,?
2.0,?,?,?,1
?,?,?,?,0
?,?,250.0,?,?
2.0,?,250.0,?,0
?,?,250.0,2.0,?
?,11.0,?,38.0,?
?,3.0,750.0,?,?
?,11.0,?,?,?
?,11.0,2750.0,?,0
3.0,?,1250.0,38.0,0
3.0,1.0,250.0,3.0,1
?,6.0,1500.0,?,?
2.0,?,?,?,?
?,11.0,2750.0,39.0,0
2.0,?,?,14.0,?
4.0,?,?,46.0,0
9.0,3.0,?,?,?
14.0,?,?,26.0,?
4.0,?,?,?,?
?,11.0,2750.0,?,?
?,?,1750.0,?,0
2.0,7.0,?,77.0,?
4.0,1.0,?,4.0,0
?,1.0,250.0,4.0,0
4.0,1.0,?,?,0
?,1.0,?,4.0,0
?,1.0,250.0,?,1
?,?,?,4.0,?
4.0,?,250.0,4.0,?
?,1.0,250.0,4.0,0
4.0,?,250.0,4.0,?
?,1.0,250.0,4.0,?
?,?,250.0,4.0,?
?,1.0,250.0,4.0,?
?,?,?,?,0
?,1.0,?,4.0,?
?,?,?,?,?
?,6.0,1500.0,28.0,?
13.0,3.0,?,?,1
?,?,1250.0,?,0
9.0,?,2250.0,54.0,0
?,?,500.0,?,0
2.0,5.0,?,63.0,?
?,11.0,?,?,0
?,9.0,?,?,?
?,2.0,500.0,?,0
?,3.0,750.0,26.0,?
?,15.0,3750.0,71.0,?
?,?,750.0,16.0,0
11.0,16.0,?,?,0
4.0,?,?,?,0
14.0,7.0,?,35.0,?
?,4.0,?,?,0
?,9.0,2250.0,89.0,?
?,8.0,?,?,1
7.0,5.0,?,52.0,0
?,6.0,?,41.0,0
10.0,5.0,?,38.0,?
?,2.0,?,?,?
14.0,2.0,500.0,14.0,0
14.0,2.0,?,?,0
?,?,500.0,?,0
?,3.0,?,?,?
?,8.0,?,?,?
9.0,?,?,9.0,0
16.0,?,1250.0,27.0,?
14.0,4.0,1000.0,26.0,0
4.0,?,?,?,?
?,?,750.0,21.0,0
?,16.0,4000.0,77.0,0
?,2.0,?,?,0
14.0,?,?,50.0,0
11.0,?,?,?,?
?,7.0,1750.0,45.0,0
?,5.0,1250.0,?,?
16.0,?,?,?,?
?,?,?,?,0
?,?,2000.0,?,?
?,1.0,250.0,11.0,0
11.0,?,250.0,11.0,0
11.0,1.0,250.0,?,0
11.0,?,250.0,11.0,1
?,1.0,250.0,?,?
?,3.0,750.0,75.0,1
2.0,?,?,77.0,0
?,?,1000.0,28.0,?
16.0,?,3750.0,?,?
?,14.0,3500.0,83.0,?
?,?,?,62.0,?
?,?,?,?,?
14.0,?,?,?,0
23.0,19.0,4750.0,?,0
11.0,?,1750.0,75.0,?
?,3.0,?,?,0
20.0,14.0,?,69.0,?
4.0,2.0,?,46.0,?
11.0,2.0,?,25.0,?
11.0,?,?,?,?
16.0,?,1000.0,33.0,0
?,7.0,?,?,0
?,7.0,?,76.0,?
16.0,6.0,?,?,?
?,3.0,?,33.0,?
?,?,250.0,14.0,?
14.0,?,250.0,?,0
?,1.0,250.0,?,?
?,?,?,?,?
14.0,?,?,14.0,0
?,1.0,?,14.0,0
?,?,1750.0,?,?
14.0,?,?,?,0
14.0,?,750.0,35.0,?
?,?,?,?,0
?,?,500.0,21.0,?
16.0,3.0,?,35.0,0
?,1.0,?,16.0,?
?,?,?,16.0,?
16.0,1.0,250.0,?,0
16.0,?,?,?,?
?,1.0,?,?,0
14.0,?,?,29.0,?
?,?,?,74.0,?
?,?,?,38.0,1
21.0,?,1500.0,48.0,?
23.0,?,500.0,?,?
?,?,?,45.0,0
?,2.0,?,35.0,1
?,6.0,?,?,?
?,4.0,?,?,?
16.0,5.0,1250.0,?,0
?,?,?,?,?
21.0,3.0,750.0,?,?
?,3.0,750.0,?,?
23.0,8.0,?,?,?
?,?,?,38.0,0
23.0,3.0,?,35.0,0
21.0,?,?,40.0,0
23.0,?,500.0,28.0,0
?,1.0,?,21.0,?
?,1.0,?,21.0,?
?,?,1500.0,50.0,?
21.0,?,250.0,21.0,?
?,?,250.0,21.0,?
?,3.0,750.0,39.0,?
21.0,?,?,33.0,?
?,?,750.0,?,?
?,1.0,250.0,?,?
23.0,?,?,?,0
?,1.0,?,23.0,0
?,?,250.0,?,0
?,?,250.0,23.0,0
23.0,?,?,23.0,0
23.0,?,250.0,?,?
23.0,?,?,?,?
23.0,?,?,?,0
?,?,?,?,0
?,?,750.0,86.0,?
?,?,?,38.0,?
?,2.0,?,52.0,?
?,?,750.0,?,?
?,?,?,39.0,?
?,1.0,?,72.0,?
