@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data
0.64,?,?,?,?,2.22,?,?,1.98,2.8
?,?,?,0.39,0.7,?,?,?,?,?
?,?,?,?,?,1.46,3.18,3.15,?,3.22
?,1.2,?,0.35,?,?,3.18,?,?,?
?,?,0.26,?,?,1.68,?,?,1.44,2.72
?,1.08,2.22,?,1.2,?,?,?,?,?
1.02,?,0.3,?,?,?,3.17,?,?,?
0.42,1.48,2.06,?,?,1.4,?,?,?,2.86
?,1.88,0.66,?,?,2.18,?,2.59,?,3.02
1.02,0.64,1.12,?,?,1.82,?,2.82,?,2.56
1.02,1.2,?,?,?,?,?,?,?,?
0.61,?,0.46,?,?,?,3.17,?,?,?
?,?,?,?,?,?,?,?,?,2.48
0.93,?,?,?,?,?,?,2.82,1.41,2.88
?,?,?,?,?,2.83,3.2,2.79,1.47,?
0.83,1.4,?,?,?,2.54,3.18,?,1.6,2.54
1.06,1.92,3.11,?,1.46,?,3.2,?,?,2.34
?,0.96,?,?,?,?,?,3.03,?,2.78
0.9,1.12,?,0.45,?,1.1,3.18,?,?,2.96
?,1.6,?,?,?,1.36,3.18,?,1.34,3.04
?,?,0.68,0.37,?,?,3.18,2.9,1.5,?
?,?,?,0.62,?,1.9,?,?,?,?
?,?,?,?,0.16,?,?,?,1.09,3.34
?,?,0.61,?,0.8,?,3.18,?,1.28,2.94
0.51,1.08,?,?,?,?,?,2.8,?,2.88
?,?,0.72,?,0.7,1.36,3.18,2.74,?,?
1.6,0.8,0.38,?,?,1.5,3.18,?,?,?
0.83,1.04,?,?,0.88,1.86,?,2.82,1.25,2.34
?,?,0.14,0.47,?,1.88,?,2.81,1.98,2.58
0.9,?,?,0.41,?,?,?,?,?,?
?,?,?,0.56,?,2.0,3.19,2.86,?,?
0.99,2.96,?,?,?,?,3.19,?,?,?
?,?,?,0.42,?,?,?,2.81,?,?
?,1.76,2.53,0.65,1.04,?,?,?,?,?
?,1.08,?,?,0.54,1.06,?,?,?,?
?,?,?,0.47,0.78,?,?,2.7,?,?
?,?,?,0.4,?,1.7,?,3.07,?,3.42
?,?,?,0.46,?,1.82,?,?,?,?
?,1.52,?,?,?,0.86,3.17,2.62,2.05,3.04
1.25,?,0.86,0.58,0.66,1.98,?,2.88,?,?
?,?,?,0.5,?,?,?,?,1.86,?
0.74,?,0.24,?,?,1.66,?,2.87,?,?
?,?,?,?,?,1.54,?,?,?,?
?,?,0.19,?,?,0.9,3.17,?,?,3.12
0.64,2.36,?,?,?,?,?,?,1.22,?
0.67,2.08,?,0.54,?,1.64,?,?,?,2.64
?,?,?,?,?,?,3.18,?,1.79,?
0.56,?,0.13,0.49,?,?,3.17,?,?,?
?,2.04,?,?,1.44,2.28,?,?,1.63,2.42
?,?,?,?,1.42,2.83,3.2,?,1.47,2.38
0.99,2.0,2.13,?,1.82,2.6,3.19,?,?,?
1.12,?,0.3,?,?,?,?,?,1.22,2.94
0.9,1.44,2.34,?,?,?,?,?,?,?
?,?,?,0.37,?,?,?,2.91,1.41,?
1.02,?,2.67,0.53,?,?,3.19,?,?,?
?,1.6,0.21,?,2.16,?,?,2.86,?,3.1
?,0.96,0.38,0.5,0.78,?,3.18,?,?,2.82
0.64,?,0.4,?,?,1.12,3.18,?,?,?
0.99,2.12,?,?,?,2.94,?,?,1.41,?
?,?,?,0.45,?,?,3.18,?,?,?
?,?,?,?,?,?,3.17,?,?,?
?,?,?,0.39,0.42,?,3.2,?,?,?
?,0.56,0.93,0.53,?,?,?,2.94,?,2.74
0.99,1.2,?,0.43,?,1.1,3.16,?,?,3.42
?,?,0.43,?,1.5,?,3.17,?,0.96,?
?,?,?,?,1.54,?,?,?,?,?
?,?,?,?,0.86,1.86,?,2.96,2.46,?
0.9,?,1.65,?,?,?,3.18,?,?,2.86
?,?,0.51,?,1.04,1.78,?,2.79,1.86,2.54
0.35,1.36,?,?,?,?,?,?,?,2.48
?,?,2.94,?,?,1.86,?,2.82,1.25,?
1.15,1.28,0.18,0.61,?,2.3,3.18,?,1.73,2.34
?,?,?,?,0.72,?,3.19,2.83,?,?
?,1.32,?,?,?,?,?,?,1.79,?
?,1.2,1.17,0.45,1.04,?,?,?,1.82,2.94
?,?,?,0.43,?,1.84,3.18,?,?,?
?,1.96,?,0.56,1.66,?,?,2.82,?,?
?,?,?,0.66,1.42,2.0,?,2.82,?,2.64
0.93,?,?,?,?,2.22,?,2.58,?,?
?,?,0.75,?,?,2.62,?,2.86,1.54,?
0.74,?,1.38,?,1.1,2.0,?,2.72,?,2.74
0.64,1.36,0.19,?,0.78,1.58,?,2.79,?,2.82
0.51,1.44,0.42,?,0.74,?,3.18,2.77,?,2.98
1.06,?,1.02,?,?,?,?,?,?,?
?,1.48,?,?,?,1.78,?,?,?,3.34
?,?,?,?,0.88,?,?,?,?,2.78
?,0.88,?,0.46,?,?,3.18,?,?,?
?,1.68,?,0.51,1.66,?,3.18,2.85,?,2.54
0.93,1.64,?,?,1.46,?,3.18,2.74,?,2.94
?,?,1.54,?,?,2.16,?,3.02,1.31,2.5
?,?,?,0.3,?,?,3.17,?,?,?
0.8,0.96,?,0.61,?,?,?,?,?,?
?,1.72,1.62,?,?,?,?,?,?,?
0.51,?,?,?,1.58,?,?,?,1.28,?
?,1.4,?,?,?,1.98,?,2.8,?,3.06
?,1.32,0.74,?,0.5,?,3.18,3.01,1.86,?
0.74,?,?,?,?,1.96,?,?,?,?
0.8,1.12,?,?,0.82,?,?,?,1.7,2.96
?,1.96,0.61,0.42,?,1.86,3.17,2.7,1.22,?
?,1.04,0.34,0.45,0.22,1.9,?,?,?,?
0.9,1.4,0.19,?,?,1.88,?,3.06,2.21,?
?,2.96,?,0.38,?,?,3.17,?,?,?
?,?,0.19,0.61,?,2.44,3.18,2.74,1.38,2.46
0.8,?,?,0.67,1.38,?,?,?,?,?
0.86,1.28,?,0.55,?,?,?,2.86,1.92,2.94
0.77,1.52,1.33,?,1.34,?,3.18,?,1.6,?
?,1.12,?,0.39,1.2,2.02,?,2.93,?,3.1
0.74,?,0.18,?,0.94,?,3.18,2.74,?,2.98
?,1.6,?,0.54,0.62,?,?,?,?,?
?,?,?,?,0.5,2.02,?,?,?,2.78
?,1.44,0.22,0.37,0.34,?,?,?,1.66,?
?,?,1.22,0.29,?,?,?,?,2.08,3.42
?,1.64,?,0.5,?,?,3.18,3.06,?,?
?,?,?,0.37,0.5,?,?,2.77,1.98,3.44
1.18,?,1.89,0.5,?,2.18,3.19,?,1.41,2.34
1.06,?,?,0.27,0.24,1.16,?,2.63,1.28,?
?,?,1.57,?,0.78,?,?,?,?,?
?,1.08,?,0.37,0.34,0.98,3.17,?,?,?
0.9,?,0.51,0.66,?,1.78,3.18,2.79,?,?
0.7,?,0.93,?,?,?,?,?,1.76,2.98
?,?,?,?,?,1.5,3.18,?,?,2.88
?,?,?,0.5,0.3,1.68,3.18,2.91,1.44,2.74
?,0.8,2.56,?,?,?,3.19,2.86,?,2.38
?,?,?,0.46,0.82,?,?,?,2.18,2.54
?,?,?,?,?,1.66,?,?,?,?
0.7,?,1.49,0.46,0.58,1.46,3.18,?,?,2.86
0.93,1.16,0.26,?,?,2.4,3.18,2.97,?,2.8
?,?,?,?,?,?,?,?,?,?
?,?,?,0.65,?,?,3.18,?,1.22,?
?,1.28,?,?,?,?,?,?,1.6,3.28
?,?,0.8,0.66,0.72,?,3.18,?,?,?
?,?,?,1.05,?,?,?,2.86,1.15,2.62
?,?,0.78,?,?,?,?,3.01,?,3.26
?,?,0.93,0.41,0.62,?,3.18,2.97,1.73,2.94
?,?,?,?,0.46,?,?,?,1.7,2.98
?,1.24,0.21,?,?,1.42,?,2.86,?,?
?,?,0.19,0.53,0.24,?,?,3.29,?,2.9
0.8,?,?,0.43,1.78,?,?,?,1.6,2.7
?,?,?,0.61,?,1.98,3.18,?,1.6,?
?,?,?,0.37,0.82,?,?,?,?,3.3
?,?,2.5,0.56,?,2.8,3.2,2.72,2.18,?
?,1.2,?,?,?,2.8,?,?,1.98,?
?,1.12,?,?,1.42,?,?,2.78,?,2.72
?,?,0.19,?,?,?,3.18,3.07,1.41,?
1.02,1.04,?,?,?,?,3.19,?,?,?
0.93,?,?,0.33,0.32,?,3.17,?,?,?
?,?,?,?,?,?,?,2.58,1.38,?
0.83,?,1.89,?,?,1.7,3.19,?,?,?
?,0.64,0.43,?,?,?,3.16,2.85,?,?
0.9,?,0.22,0.35,1.26,?,3.16,?,?,?
0.34,?,0.18,?,?,?,?,2.82,?,2.86
0.8,?,?,0.34,?,?,?,?,1.41,?
0.7,1.04,?,0.31,0.62,1.5,3.18,?,1.31,?
?,?,2.06,?,?,2.48,?,?,1.57,?
?,?,?,?,?,?,3.18,?,?,?
?,2.16,?,1.79,0.9,?,3.18,?,1.7,?
1.06,?,?,0.62,?,3.02,?,2.89,?,?
1.12,?,?,?,?,?,?,?,1.73,?
0.7,?,?,0.54,?,1.58,?,?,1.47,?
?,1.12,0.22,0.39,?,1.46,?,?,?,?
0.83,?,?,0.42,?,?,?,?,?,?
?,2.08,?,?,?,0.82,?,?,?,?
0.99,1.28,?,0.27,?,?,?,?,?,2.62
?,?,0.24,?,?,?,?,?,?,?
?,0.88,1.71,0.48,0.7,?,3.18,2.54,?,2.58
?,1.12,0.98,?,1.1,1.38,?,?,?,?
?,?,1.31,?,1.18,?,?,?,1.31,?
?,?,1.94,0.34,?,?,?,?,1.5,?
?,?,?,?,?,?,3.18,?,?,2.98
?,?,0.24,?,0.42,?,?,?,1.34,?
?,?,?,0.37,0.38,?,?,2.94,1.22,3.46
0.7,?,?,?,1.68,?,?,?,1.7,?
0.61,1.52,0.18,?,?,?,3.17,?,1.22,?
?,?,?,0.45,0.64,?,3.18,?,?,2.3
1.02,?,1.2,?,?,2.98,?,2.79,?,2.38
0.9,0.88,?,?,?,?,?,2.87,1.38,2.86
0.77,1.08,0.29,?,1.38,?,?,2.87,?,?
?,1.12,1.47,0.41,0.26,?,3.18,?,?,?
?,2.32,2.4,0.5,?,?,?,?,1.63,2.4
?,?,0.14,0.47,?,1.56,?,?,?,3.04
0.61,?,2.05,0.61,?,?,?,2.79,1.57,2.42
1.02,?,0.27,?,?,?,?,?,?,3.34
?,2.24,0.27,?,?,?,3.18,?,?,?
0.67,?,1.39,?,?,1.7,3.18,2.82,1.25,2.82
0.54,?,0.58,?,?,?,3.18,?,1.28,3.3
0.61,?,?,?,1.34,?,?,?,?,?
?,1.0,?,?,1.1,1.42,?,3.14,?,?
?,?,?,?,?,2.18,?,3.04,1.12,?
?,1.96,0.51,?,?,1.16,3.18,2.7,?,3.02
?,?,0.24,0.35,0.46,1.62,?,?,1.28,?
0.61,?,?,?,2.38,2.12,?,2.97,?,2.14
?,?,?,?,1.18,1.86,?,2.82,?,?
?,1.08,?,0.65,?,2.14,3.18,2.81,?,?
?,?,?,?,0.98,?,?,?,1.44,?
?,?,?,?,1.18,?,?,2.78,?,?
2.08,0.48,0.18,?,?,0.14,3.18,?,?,3.6
0.7,?,2.77,0.54,0.98,1.58,?,?,?,?
1.25,2.48,?,?,?,?,?,?,1.6,2.32
0.74,1.6,?,?,0.32,?,3.19,?,?,2.58
?,?,?,0.41,?,?,3.18,?,?,?
?,1.56,?,?,0.32,0.88,?,2.89,?,3.02
?,?,0.98,0.42,0.82,?,3.18,2.88,?,2.88
?,0.52,?,?,?,?,3.18,2.93,1.66,?
?,1.96,2.08,?,?,?,?,?,?,?
0.96,?,0.67,?,0.98,?,3.17,?,1.15,3.14
0.34,?,?,0.4,1.18,?,?,2.82,?,?
?,?,?,0.56,?,?,3.18,?,1.22,2.66
?,?,?,?,0.78,?,?,?,?,?
0.51,1.28,?,0.4,?,?,3.19,?,1.15,2.4
?,?,?,0.71,?,2.28,?,2.66,1.66,?
0.61,2.4,0.64,0.42,0.16,?,3.18,?,?,2.78
1.09,?,0.67,?,1.36,1.92,3.17,?,2.43,?
0.9,?,?,0.39,?,?,?,2.98,?,?
?,1.96,?,?,?,?,?,?,1.57,?
2.22,?,?,0.48,?,?,3.18,?,1.41,?
0.61,?,1.62,?,?,1.78,3.18,2.54,1.31,?
0.77,?,?,?,?,?,?,?,1.79,2.62
?,?,?,0.63,1.18,?,3.19,?,2.05,?
1.58,?,?,?,?,1.86,?,3.02,1.73,?
0.61,?,?,0.51,?,?,3.19,?,?,2.78
?,?,?,?,0.8,?,?,2.94,?,3.5
?,1.36,?,?,?,2.24,3.19,?,1.66,?
1.12,1.16,?,0.5,?,2.36,3.2,?,1.86,?
?,1.96,?,?,?,1.94,3.19,2.82,?,?
0.45,?,?,?,?,?,?,?,?,?
0.77,?,?,0.48,?,?,?,2.86,?,?
?,1.64,0.29,?,?,?,?,?,?,?
?,1.28,?,0.54,?,?,?,?,1.41,?
0.7,1.12,?,?,1.82,?,3.19,?,?,2.46
?,?,?,0.56,1.34,?,3.2,?,1.34,?
?,?,1.33,2.91,0.74,?,?,2.78,1.38,2.72
?,1.0,0.22,0.38,?,?,?,?,1.38,3.52
?,?,?,0.5,?,1.86,?,?,?,?
0.83,1.24,?,0.49,?,?,3.18,?,2.18,?
1.12,1.56,0.14,0.48,0.4,0.82,?,2.63,0.9,2.78
?,?,?,?,?,?,3.18,2.83,?,2.66
?,1.28,1.68,0.51,?,?,3.18,?,?,3.1
0.51,1.2,?,?,?,?,3.18,?,1.47,?
0.58,1.84,?,0.59,?,?,?,2.8,?,2.66
?,?,?,?,1.26,?,3.18,?,1.28,2.64
?,?,?,0.59,0.62,?,?,?,1.66,2.96
?,?,0.26,?,0.34,?,?,?,1.73,?
0.93,1.76,0.58,?,?,2.44,3.18,2.67,?,2.42
0.77,1.96,0.93,0.61,0.66,?,?,?,3.14,2.8
1.18,1.2,0.99,?,1.3,?,?,?,0.86,?
?,?,0.56,0.42,0.98,2.06,?,2.82,1.18,?
?,1.12,2.35,0.54,?,2.64,?,2.87,1.47,?
1.09,?,0.35,0.41,?,1.34,?,2.72,1.41,?
0.67,1.52,0.35,0.3,?,1.38,?,2.89,1.28,2.96
?,0.76,0.8,0.49,?,?,?,?,?,?
0.58,?,?,0.38,0.54,0.76,?,?,1.63,2.94
0.67,0.84,0.82,?,?,1.4,3.18,2.73,?,?
?,?,0.26,0.51,?,?,?,2.65,?,?
?,?,?,?,0.56,?,?,2.78,?,?
?,?,1.42,?,0.72,?,?,?,?,2.42
?,1.92,0.35,0.48,?,2.18,3.19,2.83,?,?
0.61,?,?,0.53,0.58,?,3.17,?,1.63,?
0.42,1.16,2.22,?,?,?,?,?,1.25,?
?,?,?,0.61,?,?,?,?,1.6,2.56
?,?,?,?,?,?,?,2.86,?,2.88
?,?,1.97,0.5,?,?,?,?,?,2.64
0.83,?,0.35,0.56,?,1.48,?,?,1.41,?
?,?,0.77,?,?,?,?,2.86,1.73,2.94
?,?,2.43,0.58,?,?,3.2,?,?,?
?,?,0.24,?,0.22,?,?,?,1.28,?
0.51,1.2,?,0.64,?,?,3.19,?,1.41,2.32
?,?,?,?,?,?,?,?,?,?
0.54,?,?,0.37,?,1.5,3.18,?,1.76,3.04
?,?,?,?,?,?,3.18,?,?,2.62
?,?,?,?,1.58,?,?,?,?,2.5
?,?,0.7,?,?,?,?,?,1.98,2.98
?,?,?,?,0.58,?,3.18,2.8,?,?
?,?,2.05,?,?,2.24,3.19,?,1.79,2.62
?,?,?,?,1.02,?,3.17,?,?,?
?,?,?,?,?,1.46,3.19,?,?,?
?,1.2,?,?,?,?,?,2.97,?,3.42
?,?,?,0.39,?,?,?,?,1.6,?
?,1.0,0.77,0.43,?,1.62,?,?,?,?
3.22,?,?,?,0.9,?,?,2.69,?,?
0.48,1.16,?,0.33,0.26,0.86,?,?,1.25,2.7
0.45,?,0.86,?,0.7,?,?,?,1.44,?
?,0.88,?,?,1.52,?,3.19,?,?,2.48
?,1.6,2.33,?,1.26,?,?,?,?,?
?,?,?,?,1.74,?,?,2.78,?,?
?,?,?,?,?,?,3.18,2.77,?,2.32
?,1.16,1.2,0.56,?,?,?,?,1.22,?
0.74,?,0.24,?,?,?,?,?,?,3.22
0.67,?,?,0.45,1.46,1.86,?,2.69,?,?
?,?,0.53,?,0.48,?,?,?,1.63,?
?,?,?,?,?,2.54,3.18,2.71,?,?
0.74,1.84,0.16,?,?,?,?,2.62,?,?
0.74,?,?,?,?,1.78,3.18,2.81,?,?
?,1.88,?,0.4,1.3,?,3.18,?,?,?
?,?,?,?,?,?,3.17,2.82,?,3.44
0.77,?,?,?,?,2.91,3.18,?,?,2.58
?,?,0.83,0.49,0.48,1.38,3.18,2.88,1.44,2.86
0.77,?,1.3,?,?,?,?,?,?,2.46
0.64,1.52,1.89,?,1.36,2.26,3.2,?,?,?
0.99,1.52,?,0.35,1.42,1.86,?,2.97,1.47,?
1.25,?,?,0.49,?,2.16,?,?,1.73,?
?,0.96,?,?,?,?,3.18,2.66,0.9,3.06
?,1.2,?,?,0.62,?,?,?,?,?
?,1.88,0.48,?,1.26,?,?,?,?,?
0.54,?,0.96,0.41,?,?,3.18,2.95,1.86,?
?,?,?,?,1.1,1.94,?,2.94,?,2.32
0.8,?,?,?,?,2.74,3.19,2.78,1.22,?
1.57,?,?,?,0.16,2.1,?,?,?,?
0.99,1.12,?,0.42,?,?,?,?,1.63,2.78
?,?,?,?,?,2.88,?,2.96,1.92,?
?,?,0.88,?,?,1.14,?,3.07,?,3.26
0.83,?,?,?,?,?,3.17,?,?,?
0.86,1.04,?,0.81,?,0.92,3.17,2.75,1.22,3.06
?,?,?,1.04,1.12,1.8,?,?,?,?
?,1.36,2.02,0.55,0.18,?,3.18,?,?,?
0.67,0.96,?,0.54,?,?,?,?,?,?
1.76,?,?,?,?,0.94,?,?,1.15,?
?,?,0.19,?,0.16,1.26,?,?,?,2.7
?,?,?,?,1.82,?,3.18,2.8,?,?
0.99,?,2.13,?,?,?,3.19,?,?,?
0.83,1.16,?,0.37,?,1.28,?,?,?,3.28
0.46,?,0.86,?,1.44,?,3.18,?,?,?
?,?,1.62,?,?,?,3.19,?,?,?
?,0.88,?,?,?,1.9,?,?,1.98,2.46
0.74,?,?,0.56,?,1.88,?,3.04,?,2.72
?,?,?,?,?,?,3.18,2.94,1.09,?
?,?,0.19,0.53,?,?,?,?,?,2.48
?,?,?,0.3,?,1.58,?,2.82,?,3.26
?,1.36,?,?,1.1,1.52,3.19,?,1.89,2.94
1.47,?,1.01,1.68,1.3,2.12,?,2.79,?,?
1.79,?,?,?,?,2.58,?,2.86,1.41,2.5
?,1.24,?,?,?,1.66,?,2.94,?,2.88
?,?,2.46,0.67,0.86,2.36,?,?,?,2.4
1.41,0.96,1.94,0.64,?,?,?,?,?,2.54
?,2.96,?,?,1.12,?,?,?,?,3.26
?,?,0.29,0.54,?,?,?,?,?,?
?,?,?,?,?,?,3.18,2.66,1.92,?
?,?,0.51,0.24,0.54,?,3.17,?,?,3.2
?,?,?,?,?,?,3.17,2.99,1.76,3.22
?,?,0.19,?,1.12,1.66,3.18,?,1.5,2.7
?,?,1.82,?,0.66,?,?,?,1.57,2.8
0.64,1.2,?,?,?,0.38,3.17,?,?,?
0.8,?,2.16,?,?,?,?,2.66,1.41,?
0.8,?,1.22,?,?,?,3.18,2.82,?,?
?,0.84,?,?,?,?,?,2.78,?,?
?,?,?,0.57,?,?,?,?,1.7,?
?,1.76,?,0.65,0.64,1.48,3.18,?,1.02,?
0.8,?,?,?,?,?,?,2.97,1.57,2.66
?,1.24,?,?,0.58,?,?,?,?,3.22
?,?,1.31,0.63,1.3,2.5,?,3.13,?,2.58
0.86,?,?,?,0.54,1.36,?,?,?,?
?,?,?,?,0.94,?,3.18,3.14,1.63,?
?,?,1.65,?,?,?,3.19,2.87,1.5,?
?,?,?,?,0.98,?,?,2.66,1.02,3.3
?,?,?,?,?,?,?,?,1.06,?
?,?,?,0.26,0.5,?,?,2.89,1.63,?
?,1.64,?,?,?,?,?,?,1.98,2.64
?,?,?,?,?,1.74,3.18,3.05,1.6,?
?,?,?,?,?,2.18,?,?,1.44,?
?,?,?,0.78,1.04,?,3.18,?,1.86,2.94
?,?,0.16,?,?,?,3.17,2.7,1.73,?
?,?,?,0.56,?,?,?,2.74,?,?
?,1.76,?,0.63,?,?,?,2.75,?,2.56
0.64,?,?,?,?,?,?,?,?,2.8
?,1.12,2.3,?,1.46,?,3.19,?,?,2.4
?,2.8,?,?,?,2.1,?,?,?,2.48
?,?,?,?,1.6,?,?,2.91,2.53,?
0.7,1.24,?,0.33,1.1,1.74,3.18,2.74,?,?
0.96,1.88,0.22,0.56,?,2.5,3.18,?,?,?
?,2.72,?,?,?,?,?,?,?,?
1.44,?,1.55,0.91,0.3,2.12,3.18,?,?,2.5
?,1.24,0.34,0.53,0.74,?,?,?,2.05,?
?,?,2.77,0.63,?,2.62,?,2.78,1.47,2.4
0.77,?,0.61,?,?,?,3.18,?,?,?
?,1.48,?,?,?,?,?,2.93,?,3.5
0.64,?,?,0.43,?,?,?,?,?,?
?,1.52,?,0.66,?,?,3.19,?,?,2.42
?,?,?,?,?,2.06,3.2,2.64,1.5,2.4
?,?,?,?,0.62,1.6,?,2.61,2.11,?
?,2.92,?,?,1.54,?,?,2.74,?,?
0.64,1.6,0.24,0.42,0.94,?,?,3.07,?,?
0.64,?,?,?,1.36,?,3.18,?,0.86,?
?,?,0.22,0.78,?,2.06,?,?,?,?
?,2.48,?,0.41,?,2.04,?,?,1.41,?
0.7,1.28,?,?,?,?,3.17,2.9,1.89,?
0.9,?,?,?,?,?,?,?,1.25,?
?,1.2,?,?,?,?,?,2.93,?,?
?,?,?,0.66,?,?,3.18,?,?,3.12
?,?,?,?,?,?,3.18,?,?,2.74
0.74,2.0,1.66,?,?,?,?,?,?,?
?,?,1.73,?,?,?,3.19,2.71,?,?
?,?,1.26,0.47,1.66,2.4,?,?,?,?
?,?,?,0.43,?,?,?,?,?,2.94
?,1.36,0.32,?,1.02,?,?,?,?,?
1.06,1.08,0.13,?,?,2.5,?,2.78,?,2.5
?,?,?,0.49,?,?,?,3.13,1.5,2.66
?,?,0.22,0.64,?,1.82,3.18,2.77,?,?
?,1.28,0.93,?,?,?,3.18,?,?,?
?,1.2,?,?,?,?,?,2.63,?,3.34
?,1.4,0.19,0.43,0.58,?,?,?,1.54,?
1.06,?,0.32,?,1.62,2.28,?,2.89,?,3.54
?,?,?,0.62,?,?,?,2.82,1.25,?
?,0.96,?,?,?,?,?,?,?,3.06
?,?,?,?,?,?,?,?,?,2.46
0.74,?,1.54,0.29,0.7,?,?,?,?,?
?,?,1.42,?,?,?,3.18,2.82,1.47,?
?,?,0.93,0.43,1.38,?,3.18,2.91,1.22,?
0.42,1.08,?,?,?,1.02,3.18,2.86,?,3.02
0.54,?,?,0.57,?,?,3.18,2.74,?,2.54
?,0.92,?,?,0.98,?,?,?,2.08,2.66
0.67,?,?,?,?,?,?,2.74,1.6,?
?,?,?,?,?,1.36,?,2.75,?,2.98
?,?,1.18,0.29,?,2.34,?,?,1.02,3.04
?,?,?,?,?,1.66,?,?,1.47,?
?,1.04,?,?,?,?,?,?,?,?
?,?,?,?,1.28,2.38,3.19,?,1.66,?
?,?,?,?,0.7,?,?,?,1.25,2.8
?,?,0.9,?,?,?,?,?,?,?
0.99,1.24,0.15,0.24,1.38,1.98,?,?,?,3.06
0.83,?,?,0.54,?,?,?,?,1.41,?
?,?,1.58,?,0.26,?,?,3.07,?,?
?,?,0.72,?,?,?,?,?,?,2.42
?,1.32,2.05,0.64,?,2.26,3.19,3.04,1.34,?
?,?,?,?,?,1.34,?,2.67,?,?
0.7,?,?,?,?,1.38,?,?,1.82,2.74
1.31,?,0.86,0.4,?,?,3.17,?,1.41,?
?,?,?,?,?,?,?,?,?,3.22
?,?,?,?,1.2,2.22,?,?,1.38,2.58
0.74,1.28,?,?,1.06,?,?,?,1.7,?
?,?,0.21,?,0.4,?,?,?,1.95,3.22
0.72,?,?,0.85,1.26,?,?,?,?,?
0.96,1.08,?,?,?,?,3.18,2.63,?,?
?,1.12,1.92,0.64,?,?,?,?,?,2.48
?,1.16,?,0.4,?,1.24,3.18,2.82,?,3.18
?,1.12,1.16,?,?,?,?,2.62,?,?
?,?,2.59,?,?,?,?,?,1.6,?
0.77,?,1.36,?,3.3,?,3.18,2.58,?,?
?,0.6,1.06,0.53,?,?,?,2.66,1.86,2.64
0.42,1.36,?,0.71,?,?,3.19,?,?,?
?,1.28,?,?,?,0.9,?,?,1.31,3.04
0.58,2.96,?,?,1.44,?,?,?,2.18,?
?,?,?,?,?,2.64,?,2.9,1.76,?
?,?,?,?,0.46,?,?,?,1.09,?
0.96,?,0.21,0.62,0.72,2.44,3.18,?,?,?
?,?,0.18,?,?,2.34,?,3.06,?,2.96
?,?,0.62,0.31,?,?,?,?,?,?
?,?,?,?,0.78,1.78,3.18,?,1.98,?
