@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data
?,0.295,0.8,0.37,0.84,?
0.276,?,?,?,0.33,?
0.258,?,0.88,0.4,0.3,Low
0.32,?,?,0.89,0.58,High
?,?,0.02,?,0.79,High
0.295,0.59,0.29,?,0.55,?
?,0.64,?,0.61,?,?
0.265,0.6,?,0.66,0.07,?
?,?,0.28,?,?,High
0.28,?,?,0.17,0.66,?
?,?,0.46,0.32,?,High
?,0.65,?,0.65,?,?
?,0.75,?,?,?,?
?,?,?,?,?,?
0.3,?,?,0.25,?,?
?,?,0.52,0.49,0.76,?
0.312,0.8,0.67,?,?,?
0.299,?,?,0.22,?,High
?,0.76,?,?,?,?
?,0.72,0.72,?,?,Low
0.295,0.6,0.72,?,?,?
0.39,0.05,?,0.06,0.34,?
?,0.18,0.26,?,0.67,?
0.45,0.04,0.18,?,?,?
0.48,0.12,0.28,?,?,?
?,?,?,?,0.65,?
?,0.18,0.33,0.31,0.5,Middle
?,0.1,0.4,0.48,?,Low
?,?,?,0.78,0.1,Low
0.41,0.09,?,?,?,?
?,0.01,?,0.27,?,?
0.33,?,?,?,?,very_low
?,0.15,0.66,?,0.4,?
0.44,?,?,0.22,?,?
?,?,0.81,?,?,Low
?,0.21,0.87,?,?,Middle
?,?,0.76,?,0.65,?
?,0.243,?,0.24,?,Low
?,0.27,?,?,?,?
0.345,?,0.1,?,?,Low
?,0.3,0.15,0.65,?,?
?,0.245,?,0.14,0.86,High
0.334,0.295,?,0.32,0.3,Low
?,0.29,?,?,0.13,?
0.39,0.26,?,0.77,0.14,?
?,?,?,0.09,0.64,Middle
?,?,0.55,0.33,?,?
?,?,?,0.36,0.51,Middle
?,?,0.58,0.77,?,High
0.465,?,0.73,?,?,?
0.475,?,0.79,?,?,Middle
?,0.329,?,0.61,0.18,Low
?,?,?,0.84,?,?
0.445,?,0.02,0.24,?,High
?,?,0.27,?,0.89,?
?,?,?,?,0.12,?
0.4,0.33,0.12,0.3,?,High
?,0.4,0.38,0.2,0.61,?
?,?,0.46,?,0.78,?
?,0.38,0.32,?,?,?
0.41,?,0.34,0.21,0.92,High
?,0.36,?,0.04,?,Low
0.43,0.38,?,0.33,?,Middle
0.44,0.33,0.59,0.53,?,High
?,?,0.58,0.75,0.16,?
0.46,0.44,?,0.12,?,?
0.38,0.39,0.79,?,?,?
0.39,0.42,0.83,0.65,0.19,Low
?,0.34,0.88,?,?,High
?,?,0.22,?,?,?
?,?,?,?,0.83,?
0.365,?,?,0.63,0.18,?
?,0.65,?,?,?,?
0.46,?,0.38,0.24,0.89,High
0.37,0.55,0.41,?,?,Low
0.38,0.59,0.31,?,?,Low
0.49,0.64,0.34,0.78,0.21,?
0.495,0.82,?,0.01,0.93,High
?,0.69,?,?,0.57,?
0.365,?,?,?,?,?
0.49,?,?,?,?,High
0.445,0.7,0.82,0.16,?,?
0.42,0.7,0.72,?,?,?
0.37,?,?,?,?,Middle
?,0.61,0.71,0.88,?,High
?,0.14,0.22,?,?,?
0.55,?,0.27,?,?,Low
0.68,0.19,?,?,0.1,?
?,0.2,?,0.72,0.26,?
?,0.15,0.38,?,0.63,Middle
0.55,0.1,?,0.3,0.1,?
?,0.18,?,?,0.09,very_low
0.64,0.09,?,0.65,0.5,?
0.6,0.19,0.55,0.08,0.1,?
0.69,?,?,?,0.29,Low
?,0.21,0.68,0.65,?,?
0.62,0.14,?,0.81,0.15,Low
?,0.18,?,?,?,?
0.75,0.015,?,?,?,Middle
?,0.17,?,?,0.11,?
?,?,0.91,0.8,0.68,High
?,?,?,0.14,?,?
0.8,0.29,?,?,0.51,Middle
0.9,?,?,?,0.79,?
?,?,?,?,0.34,?
0.72,0.32,0.48,?,0.6,?
0.6,?,?,?,0.3,?
0.52,0.288,?,0.5,0.3,Low
0.6,0.31,?,?,?,High
?,?,?,?,?,?
?,0.295,0.62,0.28,?,?
0.61,0.258,?,0.62,0.24,Low
?,?,?,0.78,?,?
?,0.28,?,0.2,?,?
?,0.27,?,?,?,?
0.58,0.299,?,?,0.21,?
0.77,0.29,?,0.82,0.68,High
?,0.475,0.13,0.23,?,Middle
0.58,?,?,?,0.31,?
?,0.335,?,?,0.78,High
0.99,?,0.07,?,?,?
0.73,0.43,?,?,?,?
?,?,0.36,0.28,?,?
0.51,0.4,0.4,?,0.23,Low
0.83,?,?,0.91,?,?
?,?,0.55,?,?,?
?,0.35,0.51,?,?,Low
0.523,?,?,0.6,?,?
0.66,?,0.56,0.4,?,High
0.62,?,?,0.13,?,?
0.52,?,?,?,?,?
0.5,?,?,?,?,Low
?,?,0.95,0.78,0.86,High
?,?,?,0.18,?,Middle
?,?,?,?,?,?
0.62,?,0.24,?,?,?
?,?,?,0.89,?,High
?,0.67,?,0.1,?,?
0.58,?,?,0.29,0.29,Low
?,?,0.49,?,0.9,?
0.72,0.6,?,0.79,0.45,Middle
?,0.63,?,0.09,0.66,?
0.56,?,0.6,?,0.5,?
?,?,?,?,?,Low
0.61,0.78,?,?,?,High
0.78,0.61,?,0.19,0.6,Middle
?,?,0.71,?,?,High
?,0.75,?,?,0.26,Middle
?,?,0.76,0.87,?,High
