@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data
?,0.75,?,?,0.86,?
?,0.72,?,?,0.55,?
?,0.6,?,?,0.26,Low
0.2,?,0.36,?,0.25,?
?,?,0.66,0.19,0.59,Middle
0.18,0.51,0.58,0.33,?,High
?,?,0.6,?,?,?
?,?,?,0.75,0.01,Low
?,0.77,?,?,?,?
0.15,?,?,?,0.51,Middle
0.2,0.68,0.73,?,?,?
?,?,?,?,0.28,Middle
?,0.1,0.03,0.09,0.15,?
?,0.2,0.06,0.26,?,very_low
0.29,?,0.19,?,0.51,Middle
0.28,?,?,0.28,?,?
?,?,0.4,?,?,?
0.27,?,0.37,?,?,Middle
?,?,0.41,0.42,0.75,High
?,0.15,?,0.66,0.08,very_low
?,0.2,0.52,0.3,?,?
?,0.16,0.69,?,?,High
0.255,0.18,?,?,?,?
0.265,?,0.57,?,?,Low
?,0.1,?,0.1,0.3,Low
?,0.1,0.71,0.26,0.2,very_low
?,0.2,0.86,?,?,Low
?,0.12,0.79,?,0.24,Low
0.295,?,0.26,?,?,Middle
?,0.32,0.29,?,0.62,?
?,?,0.15,?,0.26,Low
0.27,?,0.1,?,?,?
0.248,0.3,0.31,?,0.03,very_low
0.325,0.25,0.38,?,0.79,?
0.27,?,0.32,?,0.28,?
?,0.29,?,0.78,0.18,?
0.29,?,?,0.09,?,Middle
0.258,0.28,0.64,0.29,?,?
0.32,0.255,?,0.78,0.34,?
0.251,?,?,?,0.09,very_low
?,?,?,0.23,?,Low
?,?,?,0.32,?,High
?,0.305,?,?,0.15,?
0.295,0.25,0.73,?,0.19,Low
?,0.25,?,0.33,0.77,?
0.29,0.25,?,?,?,?
0.243,0.27,?,0.42,0.29,Low
?,0.28,0.18,?,?,Low
0.299,0.32,0.31,0.33,?,High
?,?,0.31,0.31,?,Middle
?,0.26,0.38,?,0.27,Low
?,0.29,?,?,0.1,Low
?,0.3,?,?,0.67,Middle
0.26,0.28,?,?,?,?
?,?,?,0.4,0.54,?
0.32,0.27,?,?,?,?
?,0.295,0.8,?,?,High
0.276,?,?,0.27,?,?
?,0.31,?,?,?,?
0.32,?,?,?,?,High
0.329,0.55,0.02,?,?,High
0.295,?,0.29,?,?,?
?,0.64,?,?,0.45,Middle
0.265,?,?,?,0.07,very_low
0.315,?,0.28,0.8,0.7,High
?,?,0.44,0.17,?,?
0.325,0.61,0.46,0.32,0.81,High
0.28,?,0.4,?,?,?
?,?,?,0.72,?,?
0.305,0.55,0.5,?,?,?
0.3,?,?,0.25,0.83,Middle
0.325,?,0.52,0.49,?,?
0.312,?,?,?,0.5,High
0.299,0.7,?,0.22,0.66,?
0.265,?,?,?,?,Low
?,0.72,?,0.63,?,?
?,?,?,0.88,0.28,?
0.39,0.05,?,?,?,?
0.4,?,0.26,0.26,0.67,?
0.45,0.04,?,0.55,0.07,very_low
?,0.12,?,?,?,?
?,?,0.41,0.1,?,Middle
?,?,?,?,?,?
0.38,0.1,?,?,0.26,?
?,0.06,?,?,0.1,Low
0.41,0.09,0.58,0.18,0.58,Middle
0.38,0.01,?,0.27,0.3,Low
?,?,0.5,?,0.1,very_low
?,0.15,?,0.78,?,?
0.44,?,?,0.22,?,Middle
?,0.15,0.81,0.22,0.29,Low
0.42,0.21,?,?,?,Middle
0.46,?,?,0.95,?,?
0.365,0.243,0.19,?,0.35,Low
?,?,0.2,0.33,0.1,?
0.345,?,?,?,0.13,Low
0.48,0.3,0.15,?,?,?
0.49,0.245,?,0.14,0.86,High
0.334,?,0.33,0.32,?,Low
0.36,0.29,?,0.48,?,?
0.39,0.26,0.39,?,0.14,?
0.43,0.305,0.51,?,0.64,?
?,?,0.55,?,?,?
?,0.299,0.63,?,?,?
?,0.276,?,?,0.83,?
0.465,?,0.73,0.18,0.59,?
?,0.32,0.79,?,0.54,?
0.348,0.329,?,0.61,0.18,?
0.385,0.26,0.76,?,?,?
?,?,?,?,0.88,High
0.43,0.45,0.27,?,0.89,?
?,?,?,0.49,0.12,very_low
?,?,?,?,?,?
?,?,?,0.2,0.61,Middle
0.38,?,?,0.49,0.78,?
0.35,0.38,?,0.6,0.16,Low
0.41,0.49,?,?,0.92,?
?,0.36,0.63,0.04,0.25,?
0.43,0.38,?,?,0.49,Middle
0.44,0.33,?,0.53,0.85,?
0.4,?,?,0.75,0.16,Low
0.46,?,0.89,?,?,Middle
0.38,0.39,?,?,0.3,?
0.39,?,?,?,?,?
?,?,0.88,0.75,?,High
?,?,0.22,0.22,0.6,Middle
0.44,?,?,?,0.83,High
?,0.68,?,0.63,?,?
?,0.65,?,0.99,0.55,High
?,?,0.38,?,?,?
0.37,0.55,0.41,?,?,?
0.38,0.59,0.31,?,0.2,?
0.49,?,?,?,0.21,?
0.495,?,0.67,0.01,?,?
0.44,?,?,0.29,0.57,?
0.365,0.57,?,?,?,?
0.49,0.9,?,?,?,?
?,0.7,?,0.16,?,?
0.42,?,0.72,?,0.8,High
?,?,0.77,?,0.5,Middle
?,0.61,0.71,0.88,0.67,?
?,0.14,?,0.11,?,?
0.55,0.1,?,?,0.29,?
0.68,?,0.19,0.48,?,very_low
?,0.2,?,0.72,?,Low
?,0.15,?,?,?,Middle
?,0.1,0.34,0.3,?,?
?,?,0.31,0.55,?,very_low
?,0.09,0.33,?,0.5,?
0.6,?,0.55,?,0.1,very_low
0.69,0.02,0.62,0.3,0.29,?
?,0.21,?,?,?,High
?,?,0.52,0.81,0.15,?
?,?,?,0.09,0.66,Middle
0.75,0.015,?,?,?,?
?,0.17,?,?,?,very_low
?,0.05,?,0.8,?,High
0.78,?,?,0.14,?,Middle
0.8,0.29,?,0.31,0.51,Middle
0.9,0.26,?,0.58,?,?
0.76,?,?,?,0.34,Middle
0.72,0.32,?,0.2,0.6,Middle
0.6,?,0.39,?,?,Low
0.52,0.288,?,?,0.3,?
?,?,?,0.87,0.58,?
?,0.255,0.55,?,?,?
?,?,0.62,?,0.3,?
?,0.258,0.56,0.62,0.24,Low
?,?,0.59,?,?,?
?,0.28,?,0.2,?,?
?,?,?,?,?,?
?,0.299,?,?,0.21,Low
?,?,?,?,0.68,?
0.71,0.475,?,?,?,?
0.58,?,0.06,0.29,0.31,Low
0.88,?,?,0.55,0.78,High
0.99,?,0.07,0.7,0.69,High
0.73,?,?,?,?,?
0.61,?,0.36,0.28,0.28,Low
?,0.4,0.4,0.59,?,?
0.83,?,0.49,?,0.66,High
?,?,0.55,0.15,0.62,Middle
?,0.35,0.51,0.27,0.3,?
?,0.41,0.55,?,?,?
?,?,?,0.4,0.83,High
?,0.37,?,?,?,Middle
?,0.44,0.82,0.3,0.52,?
0.5,?,?,0.62,0.2,Low
0.71,0.46,0.95,0.78,0.86,?
0.64,0.55,0.15,?,?,?
0.52,0.85,?,?,?,Low
?,?,?,?,?,?
0.91,0.58,?,?,?,?
?,?,0.39,0.1,?,Middle
0.58,?,?,?,?,?
?,?,?,0.65,0.9,?
?,?,?,0.79,?,Middle
?,?,0.65,0.09,0.66,Middle
0.56,?,0.6,?,?,?
?,?,?,0.64,0.19,?
?,?,?,0.92,?,High
?,0.61,?,0.19,0.6,?
?,?,0.71,?,?,?
?,?,0.81,0.61,0.26,Middle
0.66,?,0.76,?,0.74,?
