@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data
0.51,?,0.4,?,0.23,1
0.83,0.44,0.49,?,?,0
?,0.38,?,0.15,0.62,2
0.58,?,?,0.27,?,?
?,0.41,0.55,?,0.22,?
?,?,?,?,?,?
0.62,0.37,?,?,?,2
?,0.44,?,0.3,0.52,?
?,?,?,0.62,?,?
?,?,?,?,?,0
0.64,0.55,0.15,?,?,?
?,?,?,0.27,0.25,1
0.62,0.62,?,?,?,2
0.91,0.58,?,0.89,?,0
?,?,0.39,?,0.66,?
0.58,0.58,?,?,?,1
?,?,0.49,?,?,0
0.72,?,?,?,?,?
0.68,0.63,?,0.09,0.66,?
0.56,0.6,?,?,?,?
?,?,?,?,?,1
0.61,0.78,0.69,?,?,0
?,?,0.71,?,?,?
0.54,?,0.71,0.29,?,0
?,0.75,0.81,0.61,?,2
0.66,0.9,0.76,0.87,?,?
