@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data
?,?,0.36,0.28,0.28,1
?,0.4,0.4,?,?,?
0.83,?,?,?,0.66,0
?,?,?,0.15,?,2
?,0.35,0.51,0.27,0.3,?
?,0.41,0.55,?,?,?
?,?,?,?,0.83,0
?,0.37,?,?,?,?
?,0.44,0.82,?,?,?
0.5,?,?,?,?,1
0.71,0.46,0.95,0.78,0.86,?
?,0.55,0.15,?,?,?
?,0.85,?,?,?,1
?,?,?,?,?,?
?,0.58,?,?,?,?
?,?,?,0.1,?,?
?,?,?,?,?,?
?,?,?,0.65,0.9,?
?,?,?,0.79,?,2
?,?,0.65,0.09,0.66,2
0.56,?,0.6,?,?,?
?,?,?,?,?,?
?,?,?,0.92,?,0
?,0.61,?,0.19,0.6,?
?,?,0.71,?,?,?
?,?,0.81,0.61,0.26,2
0.66,?,0.76,?,0.74,?
