@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data
0.51,?,?,?,?,1
?,?,0.49,?,0.66,?
?,?,?,0.15,?,2
0.58,?,?,0.27,?,1
0.523,0.41,?,?,0.22,1
0.66,0.36,?,?,?,?
0.62,0.37,0.81,0.13,?,?
?,?,0.82,?,?,?
?,?,?,?,0.2,?
0.71,?,?,0.78,0.86,?
?,?,0.15,0.18,0.63,?
?,0.85,?,0.27,?,?
0.62,0.62,?,0.65,?,?
0.91,?,0.26,0.89,?,?
?,0.67,?,?,?,2
?,?,0.31,0.29,?,?
?,?,0.49,0.65,?,0
?,?,?,?,?,?
?,?,?,0.09,0.66,?
?,0.6,0.6,0.31,0.5,2
?,?,0.55,?,?,1
0.61,0.78,0.69,0.92,0.58,0
0.78,?,?,0.19,?,2
?,0.82,?,?,?,0
?,0.75,?,?,0.26,2
0.66,0.9,?,?,?,?
